"workerid","proliferate.condition","block_sequence","exposure_condition","first_response_value","group","item_number","item_type","phase","response","sentence_id","test_condition","trial_sequence_total","wrong_attempts","time_in_minutes","error"
424,"condition1",201,"SUBJ",NA,"match","17","SUBJ","pre-exposure",0.12,51,"SUBJ",1,NA,15.28065,NA
424,"condition1",201,"SUBJ",NA,"match","119","UNGRAM","pre-exposure",0.19,154,"SUBJ",2,NA,15.28065,NA
424,"condition1",201,"SUBJ",NA,"match","106","FILL","pre-exposure",0.87,141,"SUBJ",3,NA,15.28065,NA
424,"condition1",201,"SUBJ",NA,"match","16","SUBJ","pre-exposure",0.15,48,"SUBJ",4,NA,15.28065,NA
424,"condition1",202,"SUBJ",NA,"match","104","FILL","pre-exposure",0.93,139,"SUBJ",5,NA,15.28065,NA
424,"condition1",202,"SUBJ",NA,"match","15","SUBJ","pre-exposure",0.26,45,"SUBJ",6,NA,15.28065,NA
424,"condition1",202,"SUBJ",NA,"match","8","SUBJ","pre-exposure",0.17,24,"SUBJ",7,NA,15.28065,NA
424,"condition1",202,"SUBJ",NA,"match","132","UNGRAM","pre-exposure",0.22,167,"SUBJ",8,NA,15.28065,NA
424,"condition1",203,"SUBJ",NA,"match","116","FILL","pre-exposure",0.95,151,"SUBJ",9,NA,15.28065,NA
424,"condition1",203,"SUBJ",NA,"match","2","SUBJ","pre-exposure",0.23,6,"SUBJ",10,NA,15.28065,NA
424,"condition1",203,"SUBJ",NA,"match","118","UNGRAM","pre-exposure",0.23,153,"SUBJ",11,NA,15.28065,NA
424,"condition1",203,"SUBJ",NA,"match","3","SUBJ","pre-exposure",0.7,9,"SUBJ",12,NA,15.28065,NA
424,"condition1",1,"SUBJ",NA,"match","7","SUBJ","exposure",0.32,21,"SUBJ",13,NA,15.28065,NA
424,"condition1",1,"SUBJ",NA,"match","27","SUBJ","exposure",0.43,81,"SUBJ",14,NA,15.28065,NA
424,"condition1",1,"SUBJ",NA,"match","125","UNGRAM","exposure",0.16,160,"SUBJ",15,NA,15.28065,NA
424,"condition1",1,"SUBJ",NA,"match","111","FILL","exposure",0.87,146,"SUBJ",16,NA,15.28065,NA
424,"condition1",2,"SUBJ",NA,"match","101","FILL","exposure",0.94,136,"SUBJ",17,NA,15.28065,NA
424,"condition1",2,"SUBJ",NA,"match","13","SUBJ","exposure",0.37,39,"SUBJ",18,NA,15.28065,NA
424,"condition1",2,"SUBJ",NA,"match","122","UNGRAM","exposure",0.07,157,"SUBJ",19,NA,15.28065,NA
424,"condition1",2,"SUBJ",NA,"match","11","SUBJ","exposure",0.29,33,"SUBJ",20,NA,15.28065,NA
424,"condition1",3,"SUBJ",NA,"match","103","FILL","exposure",0.92,138,"SUBJ",21,NA,15.28065,NA
424,"condition1",3,"SUBJ",NA,"match","10","SUBJ","exposure",0.13,30,"SUBJ",22,NA,15.28065,NA
424,"condition1",3,"SUBJ",NA,"match","124","UNGRAM","exposure",0.07,159,"SUBJ",23,NA,15.28065,NA
424,"condition1",3,"SUBJ",NA,"match","23","SUBJ","exposure",0.33,69,"SUBJ",24,NA,15.28065,NA
424,"condition1",4,"SUBJ",NA,"match","31","SUBJ","exposure",0.23,93,"SUBJ",25,NA,15.28065,NA
424,"condition1",4,"SUBJ",NA,"match","131","UNGRAM","exposure",0.23,166,"SUBJ",26,NA,15.28065,NA
424,"condition1",4,"SUBJ",NA,"match","110","FILL","exposure",0.93,145,"SUBJ",27,NA,15.28065,NA
424,"condition1",4,"SUBJ",NA,"match","1","SUBJ","exposure",0.2,3,"SUBJ",28,NA,15.28065,NA
424,"condition1",5,"SUBJ",NA,"match","109","FILL","exposure",0.86,144,"SUBJ",29,NA,15.28065,NA
424,"condition1",5,"SUBJ",NA,"match","25","SUBJ","exposure",0.27,75,"SUBJ",30,NA,15.28065,NA
424,"condition1",5,"SUBJ",NA,"match","28","SUBJ","exposure",0.23,84,"SUBJ",31,NA,15.28065,NA
424,"condition1",5,"SUBJ",NA,"match","117","UNGRAM","exposure",0.22,152,"SUBJ",32,NA,15.28065,NA
424,"condition1",6,"SUBJ",NA,"match","14","SUBJ","exposure",0.23,42,"SUBJ",33,NA,15.28065,NA
424,"condition1",6,"SUBJ",NA,"match","102","FILL","exposure",0.97,137,"SUBJ",34,NA,15.28065,NA
424,"condition1",6,"SUBJ",NA,"match","9","SUBJ","exposure",0.29,27,"SUBJ",35,NA,15.28065,NA
424,"condition1",6,"SUBJ",NA,"match","121","UNGRAM","exposure",0.07,156,"SUBJ",36,NA,15.28065,NA
424,"condition1",7,"SUBJ",NA,"match","21","SUBJ","exposure",0.27,63,"SUBJ",37,NA,15.28065,NA
424,"condition1",7,"SUBJ",NA,"match","113","FILL","exposure",0.93,148,"SUBJ",38,NA,15.28065,NA
424,"condition1",7,"SUBJ",NA,"match","18","SUBJ","exposure",0.25,54,"SUBJ",39,NA,15.28065,NA
424,"condition1",7,"SUBJ",NA,"match","126","UNGRAM","exposure",0.05,161,"SUBJ",40,NA,15.28065,NA
424,"condition1",8,"SUBJ",NA,"match","4","SUBJ","exposure",0.13,12,"SUBJ",41,NA,15.28065,NA
424,"condition1",8,"SUBJ",NA,"match","130","UNGRAM","exposure",0.12,165,"SUBJ",42,NA,15.28065,NA
424,"condition1",8,"SUBJ",NA,"match","114","FILL","exposure",0.94,149,"SUBJ",43,NA,15.28065,NA
424,"condition1",8,"SUBJ",NA,"match","5","SUBJ","exposure",0.93,15,"SUBJ",44,NA,15.28065,NA
424,"condition1",9,"SUBJ",NA,"match","12","SUBJ","exposure",0.23,36,"SUBJ",45,NA,15.28065,NA
424,"condition1",9,"SUBJ",NA,"match","6","SUBJ","exposure",0.15,18,"SUBJ",46,NA,15.28065,NA
424,"condition1",9,"SUBJ",NA,"match","105","FILL","exposure",0.47,140,"SUBJ",47,NA,15.28065,NA
424,"condition1",9,"SUBJ",NA,"match","127","UNGRAM","exposure",0.09,162,"SUBJ",48,NA,15.28065,NA
424,"condition1",10,"SUBJ",NA,"match","22","SUBJ","exposure",0.31,66,"SUBJ",49,NA,15.28065,NA
424,"condition1",10,"SUBJ",NA,"match","108","FILL","exposure",0.8,143,"SUBJ",50,NA,15.28065,NA
424,"condition1",10,"SUBJ",NA,"match","128","UNGRAM","exposure",0.01,163,"SUBJ",51,NA,15.28065,NA
424,"condition1",10,"SUBJ",NA,"match","24","SUBJ","exposure",0.28,72,"SUBJ",52,NA,15.28065,NA
424,"condition1",101,"SUBJ",NA,"match","115","FILL","test",0.37,150,"SUBJ",53,NA,15.28065,NA
424,"condition1",101,"SUBJ",NA,"match","30","SUBJ","test",0.34,90,"SUBJ",54,NA,15.28065,NA
424,"condition1",101,"SUBJ",NA,"match","123","UNGRAM","test",0.01,158,"SUBJ",55,NA,15.28065,NA
424,"condition1",101,"SUBJ",NA,"match","32","SUBJ","test",0.34,96,"SUBJ",56,NA,15.28065,NA
424,"condition1",102,"SUBJ",NA,"match","120","UNGRAM","test",0.03,155,"SUBJ",57,NA,15.28065,NA
424,"condition1",102,"SUBJ",NA,"match","26","SUBJ","test",0.39,78,"SUBJ",58,NA,15.28065,NA
424,"condition1",102,"SUBJ",NA,"match","112","FILL","test",0.96,147,"SUBJ",59,NA,15.28065,NA
424,"condition1",102,"SUBJ",NA,"match","29","SUBJ","test",0.38,87,"SUBJ",60,NA,15.28065,NA
424,"condition1",103,"SUBJ",NA,"match","20","SUBJ","test",0.36,60,"SUBJ",61,NA,15.28065,NA
424,"condition1",103,"SUBJ",NA,"match","19","SUBJ","test",0.35,57,"SUBJ",62,NA,15.28065,NA
424,"condition1",103,"SUBJ",NA,"match","107","FILL","test",0.96,142,"SUBJ",63,NA,15.28065,NA
424,"condition1",103,"SUBJ",NA,"match","129","UNGRAM","test",0.03,164,"SUBJ",64,NA,15.28065,NA
355,"condition1",201,"SUBJ",NA,"mismatch","105","FILL","pre-exposure",0.78,140,"WH",1,NA,8.42986666666667,NA
355,"condition1",201,"SUBJ",NA,"mismatch","12","WH","pre-exposure",0.21,35,"WH",2,NA,8.42986666666667,NA
355,"condition1",201,"SUBJ",NA,"mismatch","126","UNGRAM","pre-exposure",0.01,161,"WH",3,NA,8.42986666666667,NA
355,"condition1",201,"SUBJ",NA,"mismatch","11","WH","pre-exposure",0.13,32,"WH",4,NA,8.42986666666667,NA
355,"condition1",202,"SUBJ",NA,"mismatch","8","WH","pre-exposure",0.19,23,"WH",5,NA,8.42986666666667,NA
355,"condition1",202,"SUBJ",NA,"mismatch","125","UNGRAM","pre-exposure",0.01,160,"WH",6,NA,8.42986666666667,NA
355,"condition1",202,"SUBJ",NA,"mismatch","10","WH","pre-exposure",0.69,29,"WH",7,NA,8.42986666666667,NA
355,"condition1",202,"SUBJ",NA,"mismatch","101","FILL","pre-exposure",0.96,136,"WH",8,NA,8.42986666666667,NA
355,"condition1",203,"SUBJ",NA,"mismatch","109","FILL","pre-exposure",0.77,144,"WH",9,NA,8.42986666666667,NA
355,"condition1",203,"SUBJ",NA,"mismatch","3","WH","pre-exposure",0.77,8,"WH",10,NA,8.42986666666667,NA
355,"condition1",203,"SUBJ",NA,"mismatch","6","WH","pre-exposure",0.25,17,"WH",11,NA,8.42986666666667,NA
355,"condition1",203,"SUBJ",NA,"mismatch","132","UNGRAM","pre-exposure",0.03,167,"WH",12,NA,8.42986666666667,NA
355,"condition1",1,"SUBJ",NA,"mismatch","1","SUBJ","exposure",0.66,3,"WH",13,NA,8.42986666666667,NA
355,"condition1",1,"SUBJ",NA,"mismatch","108","FILL","exposure",0.96,143,"WH",14,NA,8.42986666666667,NA
355,"condition1",1,"SUBJ",NA,"mismatch","122","UNGRAM","exposure",0,157,"WH",15,NA,8.42986666666667,NA
355,"condition1",1,"SUBJ",NA,"mismatch","16","SUBJ","exposure",0.02,48,"WH",16,NA,8.42986666666667,NA
355,"condition1",2,"SUBJ",NA,"mismatch","124","UNGRAM","exposure",0.03,159,"WH",17,NA,8.42986666666667,NA
