workerid,proliferate.condition,block_sequence,exposure_condition,first_response_value,group,item_number,item_type,phase,response,sentence_id,test_condition,trial_sequence_total,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
424,condition1,practice,,,match,practice_good,practice_good,practice_good,0.92,,,0,0,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,practice,,,match,practice_bad,practice_bad,practice_bad,0,,,0,0,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,201,SUBJ,,match,17,SUBJ,pre-exposure,0.12,51,SUBJ,1,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,201,SUBJ,,match,119,UNGRAM,pre-exposure,0.19,154,SUBJ,2,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,201,SUBJ,,match,106,FILL,pre-exposure,0.87,141,SUBJ,3,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,201,SUBJ,,match,16,SUBJ,pre-exposure,0.15,48,SUBJ,4,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,202,SUBJ,,match,104,FILL,pre-exposure,0.93,139,SUBJ,5,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,202,SUBJ,,match,15,SUBJ,pre-exposure,0.26,45,SUBJ,6,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,202,SUBJ,,match,8,SUBJ,pre-exposure,0.17,24,SUBJ,7,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,202,SUBJ,,match,132,UNGRAM,pre-exposure,0.22,167,SUBJ,8,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,203,SUBJ,,match,116,FILL,pre-exposure,0.95,151,SUBJ,9,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,203,SUBJ,,match,2,SUBJ,pre-exposure,0.23,6,SUBJ,10,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,203,SUBJ,,match,118,UNGRAM,pre-exposure,0.23,153,SUBJ,11,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,203,SUBJ,,match,3,SUBJ,pre-exposure,0.7,9,SUBJ,12,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,1,SUBJ,,match,7,SUBJ,exposure,0.32,21,SUBJ,13,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,1,SUBJ,,match,27,SUBJ,exposure,0.43,81,SUBJ,14,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,1,SUBJ,,match,125,UNGRAM,exposure,0.16,160,SUBJ,15,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,1,SUBJ,,match,111,FILL,exposure,0.87,146,SUBJ,16,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,2,SUBJ,,match,101,FILL,exposure,0.94,136,SUBJ,17,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,2,SUBJ,,match,13,SUBJ,exposure,0.37,39,SUBJ,18,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,2,SUBJ,,match,122,UNGRAM,exposure,0.07,157,SUBJ,19,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,2,SUBJ,,match,11,SUBJ,exposure,0.29,33,SUBJ,20,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,3,SUBJ,,match,103,FILL,exposure,0.92,138,SUBJ,21,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,3,SUBJ,,match,10,SUBJ,exposure,0.13,30,SUBJ,22,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,3,SUBJ,,match,124,UNGRAM,exposure,0.07,159,SUBJ,23,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,3,SUBJ,,match,23,SUBJ,exposure,0.33,69,SUBJ,24,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,4,SUBJ,,match,31,SUBJ,exposure,0.23,93,SUBJ,25,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,4,SUBJ,,match,131,UNGRAM,exposure,0.23,166,SUBJ,26,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,4,SUBJ,,match,110,FILL,exposure,0.93,145,SUBJ,27,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,4,SUBJ,,match,1,SUBJ,exposure,0.2,3,SUBJ,28,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,5,SUBJ,,match,109,FILL,exposure,0.86,144,SUBJ,29,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,5,SUBJ,,match,25,SUBJ,exposure,0.27,75,SUBJ,30,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
424,condition1,5,SUBJ,,match,28,SUBJ,exposure,0.23,84,SUBJ,31,,[],25,Yes,,3,2,$2.00,Male,English,No.,Chrome,Windows,720,1280,15.28065,
