"workerid","proliferate.condition","block_sequence","exposure_condition","first_response_value","group","item_number","item_type","phase","response","sentence_id","test_condition","trial_sequence_total","wrong_attempts","time_in_minutes","error"
101,"condition1",7,"SUBJ",NA,"mismatch","118","UNGRAM","pre-exposure",0.02,153,"WH",1,NA,15.3484166666667,NA
101,"condition1",7,"SUBJ",NA,"mismatch","13","WH","pre-exposure",0.59,38,"WH",2,NA,15.3484166666667,NA
101,"condition1",7,"SUBJ",NA,"mismatch","12","WH","pre-exposure",0.38,35,"WH",3,NA,15.3484166666667,NA
101,"condition1",7,"SUBJ",NA,"mismatch","116","FILL","pre-exposure",1,151,"WH",4,NA,15.3484166666667,NA
101,"condition1",8,"SUBJ",NA,"mismatch","9","WH","pre-exposure",0.2,26,"WH",5,NA,15.3484166666667,NA
101,"condition1",8,"SUBJ",NA,"mismatch","103","FILL","pre-exposure",0.83,138,"WH",6,NA,15.3484166666667,NA
101,"condition1",8,"SUBJ",NA,"mismatch","124","UNGRAM","pre-exposure",0.02,159,"WH",7,NA,15.3484166666667,NA
101,"condition1",8,"SUBJ",NA,"mismatch","10","WH","pre-exposure",0.58,29,"WH",8,NA,15.3484166666667,NA
101,"condition1",9,"SUBJ",NA,"mismatch","4","WH","pre-exposure",0.75,11,"WH",9,NA,15.3484166666667,NA
101,"condition1",9,"SUBJ",NA,"mismatch","115","FILL","pre-exposure",0.91,150,"WH",10,NA,15.3484166666667,NA
101,"condition1",9,"SUBJ",NA,"mismatch","120","UNGRAM","pre-exposure",0.02,155,"WH",11,NA,15.3484166666667,NA
101,"condition1",9,"SUBJ",NA,"mismatch","1","WH","pre-exposure",0.37,2,"WH",12,NA,15.3484166666667,NA
101,"condition1",1,"SUBJ",NA,"mismatch","109","FILL","exposure",0.72,144,"WH",13,NA,15.3484166666667,NA
101,"condition1",1,"SUBJ",NA,"mismatch","15","SUBJ","exposure",0.64,45,"WH",14,NA,15.3484166666667,NA
101,"condition1",1,"SUBJ",NA,"mismatch","25","SUBJ","exposure",0.66,75,"WH",15,NA,15.3484166666667,NA
101,"condition1",1,"SUBJ",NA,"mismatch","123","UNGRAM","exposure",0.01,158,"WH",16,NA,15.3484166666667,NA
101,"condition1",6,"SUBJ",NA,"mismatch","110","FILL","exposure",0.98,145,"WH",17,NA,15.3484166666667,NA
101,"condition1",6,"SUBJ",NA,"mismatch","119","UNGRAM","exposure",0.25,154,"WH",18,NA,15.3484166666667,NA
101,"condition1",6,"SUBJ",NA,"mismatch","7","SUBJ","exposure",0.27,21,"WH",19,NA,15.3484166666667,NA
101,"condition1",6,"SUBJ",NA,"mismatch","3","SUBJ","exposure",0.71,9,"WH",20,NA,15.3484166666667,NA
101,"condition1",10,"SUBJ",NA,"mismatch","121","UNGRAM","exposure",0.01,156,"WH",21,NA,15.3484166666667,NA
101,"condition1",10,"SUBJ",NA,"mismatch","5","SUBJ","exposure",0.98,15,"WH",22,NA,15.3484166666667,NA
101,"condition1",10,"SUBJ",NA,"mismatch","108","FILL","exposure",0.96,143,"WH",23,NA,15.3484166666667,NA
101,"condition1",10,"SUBJ",NA,"mismatch","8","SUBJ","exposure",0.99,24,"WH",24,NA,15.3484166666667,NA
101,"condition1",11,"SUBJ",NA,"mismatch","122","UNGRAM","exposure",0.04,157,"WH",25,NA,15.3484166666667,NA
101,"condition1",11,"SUBJ",NA,"mismatch","17","SUBJ","exposure",0.75,51,"WH",26,NA,15.3484166666667,NA
101,"condition1",11,"SUBJ",NA,"mismatch","22","SUBJ","exposure",0.98,66,"WH",27,NA,15.3484166666667,NA
101,"condition1",11,"SUBJ",NA,"mismatch","111","FILL","exposure",0.92,146,"WH",28,NA,15.3484166666667,NA
101,"condition1",12,"SUBJ",NA,"mismatch","127","UNGRAM","exposure",0.01,162,"WH",29,NA,15.3484166666667,NA
101,"condition1",12,"SUBJ",NA,"mismatch","21","SUBJ","exposure",0.8,63,"WH",30,NA,15.3484166666667,NA
101,"condition1",12,"SUBJ",NA,"mismatch","104","FILL","exposure",0.89,139,"WH",31,NA,15.3484166666667,NA
101,"condition1",12,"SUBJ",NA,"mismatch","18","SUBJ","exposure",0.94,54,"WH",32,NA,15.3484166666667,NA
101,"condition1",13,"SUBJ",NA,"mismatch","19","SUBJ","exposure",0.98,57,"WH",33,NA,15.3484166666667,NA
101,"condition1",13,"SUBJ",NA,"mismatch","102","FILL","exposure",0.95,137,"WH",34,NA,15.3484166666667,NA
101,"condition1",13,"SUBJ",NA,"mismatch","14","SUBJ","exposure",0.8,42,"WH",35,NA,15.3484166666667,NA
101,"condition1",13,"SUBJ",NA,"mismatch","131","UNGRAM","exposure",0.01,166,"WH",36,NA,15.3484166666667,NA
101,"condition1",14,"SUBJ",NA,"mismatch","20","SUBJ","exposure",0.07,60,"WH",37,NA,15.3484166666667,NA
101,"condition1",14,"SUBJ",NA,"mismatch","112","FILL","exposure",0.84,147,"WH",38,NA,15.3484166666667,NA
101,"condition1",14,"SUBJ",NA,"mismatch","6","SUBJ","exposure",0.96,18,"WH",39,NA,15.3484166666667,NA
101,"condition1",14,"SUBJ",NA,"mismatch","126","UNGRAM","exposure",0.02,161,"WH",40,NA,15.3484166666667,NA
101,"condition1",15,"SUBJ",NA,"mismatch","107","FILL","exposure",0.93,142,"WH",41,NA,15.3484166666667,NA
101,"condition1",15,"SUBJ",NA,"mismatch","129","UNGRAM","exposure",0.04,164,"WH",42,NA,15.3484166666667,NA
101,"condition1",15,"SUBJ",NA,"mismatch","23","SUBJ","exposure",0.12,69,"WH",43,NA,15.3484166666667,NA
101,"condition1",15,"SUBJ",NA,"mismatch","30","SUBJ","exposure",0.37,90,"WH",44,NA,15.3484166666667,NA
101,"condition1",16,"SUBJ",NA,"mismatch","117","UNGRAM","exposure",0.05,152,"WH",45,NA,15.3484166666667,NA
101,"condition1",16,"SUBJ",NA,"mismatch","11","SUBJ","exposure",0.92,33,"WH",46,NA,15.3484166666667,NA
101,"condition1",16,"SUBJ",NA,"mismatch","113","FILL","exposure",0.93,148,"WH",47,NA,15.3484166666667,NA
101,"condition1",16,"SUBJ",NA,"mismatch","32","SUBJ","exposure",0.94,96,"WH",48,NA,15.3484166666667,NA
101,"condition1",2,"SUBJ",NA,"mismatch","125","UNGRAM","exposure",0.04,160,"WH",49,NA,15.3484166666667,NA
101,"condition1",2,"SUBJ",NA,"mismatch","29","SUBJ","exposure",0.83,87,"WH",50,NA,15.3484166666667,NA
101,"condition1",2,"SUBJ",NA,"mismatch","2","SUBJ","exposure",0.81,6,"WH",51,NA,15.3484166666667,NA
101,"condition1",2,"SUBJ",NA,"mismatch","101","FILL","exposure",0.98,136,"WH",52,NA,15.3484166666667,NA
101,"condition1",3,"SUBJ",NA,"mismatch","28","WH","test",0.91,83,"WH",53,NA,15.3484166666667,NA
101,"condition1",3,"SUBJ",NA,"mismatch","31","WH","test",0.88,92,"WH",54,NA,15.3484166666667,NA
101,"condition1",3,"SUBJ",NA,"mismatch","130","UNGRAM","test",0.05,165,"WH",55,NA,15.3484166666667,NA
101,"condition1",3,"SUBJ",NA,"mismatch","105","FILL","test",0.99,140,"WH",56,NA,15.3484166666667,NA
101,"condition1",4,"SUBJ",NA,"mismatch","26","WH","test",0.96,77,"WH",57,NA,15.3484166666667,NA
101,"condition1",4,"SUBJ",NA,"mismatch","27","WH","test",0.99,80,"WH",58,NA,15.3484166666667,NA
101,"condition1",4,"SUBJ",NA,"mismatch","106","FILL","test",1,141,"WH",59,NA,15.3484166666667,NA
101,"condition1",4,"SUBJ",NA,"mismatch","128","UNGRAM","test",0.32,163,"WH",60,NA,15.3484166666667,NA
101,"condition1",5,"SUBJ",NA,"mismatch","16","WH","test",0.81,47,"WH",61,NA,15.3484166666667,NA
101,"condition1",5,"SUBJ",NA,"mismatch","114","FILL","test",0.97,149,"WH",62,NA,15.3484166666667,NA
