"workerid","proliferate.condition","block_sequence","exposure_condition","first_response_value","group","item_number","item_type","phase","response","test_condition","trial_sequence_total","wrong_attempts","time_in_minutes","error","sentence_id"
17,"condition1",201,"WH",NA,"match",15,"WH","pre-exposure",0.13,"WH",1,NA,9.12511666666667,NA,44
17,"condition1",201,"WH",NA,"match",108,"FILL","pre-exposure",0.87,"WH",2,NA,9.12511666666667,NA,143
17,"condition1",201,"WH",NA,"match",16,"WH","pre-exposure",0.05,"WH",3,NA,9.12511666666667,NA,47
17,"condition1",201,"WH",NA,"match",123,"UNGRAM","pre-exposure",0,"WH",4,NA,9.12511666666667,NA,158
17,"condition1",202,"WH",NA,"match",9,"WH","pre-exposure",0,"WH",5,NA,9.12511666666667,NA,26
17,"condition1",202,"WH",NA,"match",107,"FILL","pre-exposure",1,"WH",6,NA,9.12511666666667,NA,142
17,"condition1",202,"WH",NA,"match",10,"WH","pre-exposure",0.03,"WH",7,NA,9.12511666666667,NA,29
17,"condition1",202,"WH",NA,"match",117,"UNGRAM","pre-exposure",0,"WH",8,NA,9.12511666666667,NA,152
17,"condition1",203,"WH",NA,"match",7,"WH","pre-exposure",0.18,"WH",9,NA,9.12511666666667,NA,20
17,"condition1",203,"WH",NA,"match",6,"WH","pre-exposure",0.07,"WH",10,NA,9.12511666666667,NA,17
17,"condition1",203,"WH",NA,"match",103,"FILL","pre-exposure",0.49,"WH",11,NA,9.12511666666667,NA,138
17,"condition1",203,"WH",NA,"match",131,"UNGRAM","pre-exposure",0.04,"WH",12,NA,9.12511666666667,NA,166
17,"condition1",1,"WH",NA,"match",105,"FILL","exposure",1,"WH",13,NA,9.12511666666667,NA,140
17,"condition1",1,"WH",NA,"match",2,"WH","exposure",0,"WH",14,NA,9.12511666666667,NA,5
17,"condition1",1,"WH",NA,"match",5,"WH","exposure",0,"WH",15,NA,9.12511666666667,NA,14
17,"condition1",1,"WH",NA,"match",130,"UNGRAM","exposure",0,"WH",16,NA,9.12511666666667,NA,165
17,"condition1",2,"WH",NA,"match",104,"FILL","exposure",0.91,"WH",17,NA,9.12511666666667,NA,139
17,"condition1",2,"WH",NA,"match",118,"UNGRAM","exposure",0.05,"WH",18,NA,9.12511666666667,NA,153
17,"condition1",2,"WH",NA,"match",22,"WH","exposure",0.12,"WH",19,NA,9.12511666666667,NA,65
17,"condition1",2,"WH",NA,"match",31,"WH","exposure",0.04,"WH",20,NA,9.12511666666667,NA,92
17,"condition1",3,"WH",NA,"match",3,"WH","exposure",0.14,"WH",21,NA,9.12511666666667,NA,8
17,"condition1",3,"WH",NA,"match",125,"UNGRAM","exposure",0,"WH",22,NA,9.12511666666667,NA,160
17,"condition1",3,"WH",NA,"match",19,"WH","exposure",0.04,"WH",23,NA,9.12511666666667,NA,56
17,"condition1",3,"WH",NA,"match",114,"FILL","exposure",0.17,"WH",24,NA,9.12511666666667,NA,149
17,"condition1",4,"WH",NA,"match",101,"FILL","exposure",0.89,"WH",25,NA,9.12511666666667,NA,136
17,"condition1",4,"WH",NA,"match",14,"WH","exposure",0.12,"WH",26,NA,9.12511666666667,NA,41
17,"condition1",4,"WH",NA,"match",21,"WH","exposure",0.05,"WH",27,NA,9.12511666666667,NA,62
17,"condition1",4,"WH",NA,"match",132,"UNGRAM","exposure",0.11,"WH",28,NA,9.12511666666667,NA,167
17,"condition1",5,"WH",NA,"match",13,"WH","exposure",0.04,"WH",29,NA,9.12511666666667,NA,38
17,"condition1",5,"WH",NA,"match",26,"WH","exposure",0.08,"WH",30,NA,9.12511666666667,NA,77
17,"condition1",5,"WH",NA,"match",106,"FILL","exposure",1,"WH",31,NA,9.12511666666667,NA,141
17,"condition1",5,"WH",NA,"match",120,"UNGRAM","exposure",0.08,"WH",32,NA,9.12511666666667,NA,155
17,"condition1",6,"WH",NA,"match",113,"FILL","exposure",0.14,"WH",33,NA,9.12511666666667,NA,148
17,"condition1",6,"WH",NA,"match",4,"WH","exposure",0.77,"WH",34,NA,9.12511666666667,NA,11
17,"condition1",6,"WH",NA,"match",11,"WH","exposure",0.17,"WH",35,NA,9.12511666666667,NA,32
17,"condition1",6,"WH",NA,"match",121,"UNGRAM","exposure",0,"WH",36,NA,9.12511666666667,NA,156
17,"condition1",7,"WH",NA,"match",128,"UNGRAM","exposure",0,"WH",37,NA,9.12511666666667,NA,163
17,"condition1",7,"WH",NA,"match",24,"WH","exposure",0.92,"WH",38,NA,9.12511666666667,NA,71
17,"condition1",7,"WH",NA,"match",1,"WH","exposure",0.06,"WH",39,NA,9.12511666666667,NA,2
17,"condition1",7,"WH",NA,"match",116,"FILL","exposure",0.83,"WH",40,NA,9.12511666666667,NA,151
17,"condition1",8,"WH",NA,"match",12,"WH","exposure",0.45,"WH",41,NA,9.12511666666667,NA,35
17,"condition1",8,"WH",NA,"match",124,"UNGRAM","exposure",0.01,"WH",42,NA,9.12511666666667,NA,159
17,"condition1",8,"WH",NA,"match",115,"FILL","exposure",0.92,"WH",43,NA,9.12511666666667,NA,150
17,"condition1",8,"WH",NA,"match",28,"WH","exposure",0.18,"WH",44,NA,9.12511666666667,NA,83
17,"condition1",9,"WH",NA,"match",18,"WH","exposure",0.64,"WH",45,NA,9.12511666666667,NA,53
17,"condition1",9,"WH",NA,"match",110,"FILL","exposure",0.97,"WH",46,NA,9.12511666666667,NA,145
17,"condition1",9,"WH",NA,"match",23,"WH","exposure",0.85,"WH",47,NA,9.12511666666667,NA,68
17,"condition1",9,"WH",NA,"match",129,"UNGRAM","exposure",0.04,"WH",48,NA,9.12511666666667,NA,164
17,"condition1",10,"WH",NA,"match",112,"FILL","exposure",0.87,"WH",49,NA,9.12511666666667,NA,147
17,"condition1",10,"WH",NA,"match",8,"WH","exposure",0.19,"WH",50,NA,9.12511666666667,NA,23
17,"condition1",10,"WH",NA,"match",119,"UNGRAM","exposure",0.06,"WH",51,NA,9.12511666666667,NA,154
17,"condition1",10,"WH",NA,"match",20,"WH","exposure",0.9,"WH",52,NA,9.12511666666667,NA,59
17,"condition1",101,"WH",NA,"match",32,"WH","test",0.2,"WH",53,NA,9.12511666666667,NA,95
17,"condition1",101,"WH",NA,"match",30,"WH","test",0.17,"WH",54,NA,9.12511666666667,NA,89
17,"condition1",101,"WH",NA,"match",111,"FILL","test",0.99,"WH",55,NA,9.12511666666667,NA,146
17,"condition1",101,"WH",NA,"match",127,"UNGRAM","test",0.01,"WH",56,NA,9.12511666666667,NA,162
17,"condition1",102,"WH",NA,"match",29,"WH","test",0.16,"WH",57,NA,9.12511666666667,NA,86
17,"condition1",102,"WH",NA,"match",27,"WH","test",0.2,"WH",58,NA,9.12511666666667,NA,80
17,"condition1",102,"WH",NA,"match",122,"UNGRAM","test",0.02,"WH",59,NA,9.12511666666667,NA,157
