"workerid","proliferate.condition","block_sequence","exposure_condition","first_response_value","group","item_number","item_type","phase","response","sentence_id","test_condition","trial_sequence_total","wrong_attempts","time_in_minutes","error","phase2"
464,"condition1",1,"POLAR",NA,"control","22","POLAR","exposure",0.99,88,"WH",1,NA,10.20788333,NA,"pre-exposure"
464,"condition1",1,"POLAR",NA,"control","8","POLAR","exposure",1,32,"WH",2,NA,10.20788333,NA,"pre-exposure"
464,"condition1",1,"POLAR",NA,"control","107","FILL","exposure",0.75,187,"WH",3,NA,10.20788333,NA,"pre-exposure"
464,"condition1",1,"POLAR",NA,"control","120","UNGRAM","exposure",0,200,"WH",4,NA,10.20788333,NA,"pre-exposure"
464,"condition1",2,"POLAR",NA,"control","23","POLAR","exposure",1,92,"WH",5,NA,10.20788333,NA,"pre-exposure"
464,"condition1",2,"POLAR",NA,"control","119","UNGRAM","exposure",0,199,"WH",6,NA,10.20788333,NA,"pre-exposure"
464,"condition1",2,"POLAR",NA,"control","14","POLAR","exposure",0.98,56,"WH",7,NA,10.20788333,NA,"exposure"
464,"condition1",2,"POLAR",NA,"control","112","FILL","exposure",0.99,192,"WH",8,NA,10.20788333,NA,"exposure"
464,"condition1",3,"POLAR",NA,"control","128","UNGRAM","exposure",0,208,"WH",9,NA,10.20788333,NA,"exposure"
464,"condition1",3,"POLAR",NA,"control","9","POLAR","exposure",0.99,36,"WH",10,NA,10.20788333,NA,"exposure"
464,"condition1",3,"POLAR",NA,"control","104","FILL","exposure",0.91,184,"WH",11,NA,10.20788333,NA,"exposure"
464,"condition1",3,"POLAR",NA,"control","13","POLAR","exposure",0.97,52,"WH",12,NA,10.20788333,NA,"exposure"
464,"condition1",4,"POLAR",NA,"control","1","POLAR","exposure",0.99,4,"WH",13,NA,10.20788333,NA,"exposure"
464,"condition1",4,"POLAR",NA,"control","111","FILL","exposure",0.96,191,"WH",14,NA,10.20788333,NA,"exposure"
464,"condition1",4,"POLAR",NA,"control","117","UNGRAM","exposure",0,197,"WH",15,NA,10.20788333,NA,"exposure"
464,"condition1",4,"POLAR",NA,"control","15","POLAR","exposure",1,60,"WH",16,NA,10.20788333,NA,"exposure"
464,"condition1",5,"POLAR",NA,"control","106","FILL","exposure",0.97,186,"WH",17,NA,10.20788333,NA,"exposure"
464,"condition1",5,"POLAR",NA,"control","11","POLAR","exposure",0.99,44,"WH",18,NA,10.20788333,NA,"exposure"
464,"condition1",5,"POLAR",NA,"control","17","POLAR","exposure",0.97,68,"WH",19,NA,10.20788333,NA,"exposure"
464,"condition1",5,"POLAR",NA,"control","122","UNGRAM","exposure",0,202,"WH",20,NA,10.20788333,NA,"exposure"
464,"condition1",6,"POLAR",NA,"control","10","POLAR","exposure",0.97,40,"WH",21,NA,10.20788333,NA,"exposure"
464,"condition1",6,"POLAR",NA,"control","101","FILL","exposure",0.94,181,"WH",22,NA,10.20788333,NA,"exposure"
464,"condition1",6,"POLAR",NA,"control","12","POLAR","exposure",1,48,"WH",23,NA,10.20788333,NA,"exposure"
464,"condition1",6,"POLAR",NA,"control","129","UNGRAM","exposure",0.01,209,"WH",24,NA,10.20788333,NA,"exposure"
464,"condition1",7,"POLAR",NA,"control","103","FILL","exposure",0.93,183,"WH",25,NA,10.20788333,NA,"exposure"
464,"condition1",7,"POLAR",NA,"control","124","UNGRAM","exposure",0.02,204,"WH",26,NA,10.20788333,NA,"exposure"
464,"condition1",7,"POLAR",NA,"control","25","POLAR","exposure",0.81,100,"WH",27,NA,10.20788333,NA,"exposure"
464,"condition1",7,"POLAR",NA,"control","2","POLAR","exposure",0.99,8,"WH",28,NA,10.20788333,NA,"exposure"
464,"condition1",8,"POLAR",NA,"control","16","POLAR","exposure",0.88,64,"WH",29,NA,10.20788333,NA,"exposure"
464,"condition1",8,"POLAR",NA,"control","123","UNGRAM","exposure",0,203,"WH",30,NA,10.20788333,NA,"exposure"
464,"condition1",8,"POLAR",NA,"control","108","FILL","exposure",0.97,188,"WH",31,NA,10.20788333,NA,"exposure"
464,"condition1",8,"POLAR",NA,"control","18","POLAR","exposure",0.99,72,"WH",32,NA,10.20788333,NA,"exposure"
464,"condition1",9,"POLAR",NA,"control","110","FILL","exposure",0.99,190,"WH",33,NA,10.20788333,NA,"exposure"
464,"condition1",9,"POLAR",NA,"control","7","POLAR","exposure",0.99,28,"WH",34,NA,10.20788333,NA,"exposure"
464,"condition1",9,"POLAR",NA,"control","125","UNGRAM","exposure",0.01,205,"WH",35,NA,10.20788333,NA,"exposure"
464,"condition1",9,"POLAR",NA,"control","6","POLAR","exposure",0.99,24,"WH",36,NA,10.20788333,NA,"exposure"
