"workerid","proliferate.condition","answer_of_comprehension","attention_answer","attention_correctness","block_sequence","choosed_choice","comprehension_response","condition","context_attempts","context_response","first_response_value","item_context_condition","item_number","item_sentence_type","item_type","rating","rating_response","response_correctness","tested_context_condition","tested_sentence_type","trial_sequence_total","wrong_attempts","error"
1051,"default","",2,"Null",1,0,2,"",NA,"","","SC","12","CNPC","",NA,0.16,"Incorrect","SC","CNPC",1,NA,NA
1051,"default","",2,"Null",1,2,0,"",NA,"","","SC","120","FILL","",NA,0.46,"Correct","SC","CNPC",2,NA,NA
1051,"default","",0,"correct",1,3,3,"",NA,"","","SC","128","UG","",NA,0.04,"Don't know","SC","CNPC",3,NA,NA
1051,"default","",1,"correct",2,2,0,"",NA,"","","SC","119","FILL","",NA,0.83,"Correct","SC","CNPC",4,NA,NA
1051,"default","",2,"Null",2,2,0,"",NA,"","","SC","127","UG","",NA,0.25,"Correct","SC","CNPC",5,NA,NA
1051,"default","",0,"correct",2,0,0,"",NA,"","","SC","11","CNPC","",NA,0.7,"Correct","SC","CNPC",6,NA,NA
1051,"default","",0,"correct",3,2,0,"",NA,"","","SC","10","CNPC","",NA,0.49,"Correct","SC","CNPC",7,NA,NA
1051,"default","",2,"Null",3,0,0,"",NA,"","","SC","118","FILL","",NA,0.68,"Correct","SC","CNPC",8,NA,NA
1051,"default","",2,"Null",3,2,0,"",NA,"","","SC","126","UG","",NA,0.3,"Correct","SC","CNPC",9,NA,NA
1051,"default","",2,"Null",4,0,0,"",NA,"","","SC","9","CNPC","",NA,0.58,"Correct","SC","CNPC",10,NA,NA
1051,"default","",0,"correct",4,3,3,"",NA,"","","SC","125","UG","",NA,0.19,"Don't know","SC","CNPC",11,NA,NA
1051,"default","",2,"Null",4,2,1,"",NA,"","","SC","117","FILL","",NA,0.45,"Incorrect","SC","CNPC",12,NA,NA
1051,"default","",2,"Null",5,0,2,"",NA,"","","SC","124","UG","",NA,0.44,"Incorrect","SC","CNPC",13,NA,NA
1051,"default","",2,"Null",5,0,0,"",NA,"","","SC","116","FILL","",NA,0.61,"Correct","SC","CNPC",14,NA,NA
1051,"default","",2,"Null",5,0,1,"",NA,"","","SC","8","CNPC","",NA,0.51,"Incorrect","SC","CNPC",15,NA,NA
1051,"default","",2,"Null",6,0,0,"",NA,"","","SC","123","UG","",NA,0.71,"Correct","SC","CNPC",16,NA,NA
