workerid,proliferate.condition,answer_of_comprehension,attention_answer,attention_correctness,block_sequence,choosed_choice,comprehension_response,condition,context_attempts,context_response,first_response_value,item_context_condition,item_number,item_sentence_type,item_type,rating,rating_response,response_correctness,tested_context_condition,tested_sentence_type,trial_sequence_total,wrong_attempts,error
1051,default,b,,,practice,,,SC,,,,,practice_good,,practice_good,0.82,,,,,0,0,
1051,default,d,,,practice,,,SC,0,a,a,,practice_good,,practice_good,0.24,,,,,0,3,
1051,default,,2,Null,1,0,2,,,,,SC,12,CNPC,,,0.16,Incorrect,SC,CNPC,1,,
1051,default,,2,Null,1,2,0,,,,,SC,120,FILL,,,0.46,Correct,SC,CNPC,2,,
1051,default,,0,correct,1,3,3,,,,,SC,128,UG,,,0.04,Don't know,SC,CNPC,3,,
1051,default,,1,correct,2,2,0,,,,,SC,119,FILL,,,0.83,Correct,SC,CNPC,4,,
1051,default,,2,Null,2,2,0,,,,,SC,127,UG,,,0.25,Correct,SC,CNPC,5,,
1051,default,,0,correct,2,0,0,,,,,SC,11,CNPC,,,0.7,Correct,SC,CNPC,6,,
1051,default,,0,correct,3,2,0,,,,,SC,10,CNPC,,,0.49,Correct,SC,CNPC,7,,
1051,default,,2,Null,3,0,0,,,,,SC,118,FILL,,,0.68,Correct,SC,CNPC,8,,
1051,default,,2,Null,3,2,0,,,,,SC,126,UG,,,0.3,Correct,SC,CNPC,9,,
1051,default,,2,Null,4,0,0,,,,,SC,9,CNPC,,,0.58,Correct,SC,CNPC,10,,
1051,default,,0,correct,4,3,3,,,,,SC,125,UG,,,0.19,Don't know,SC,CNPC,11,,
1051,default,,2,Null,4,2,1,,,,,SC,117,FILL,,,0.45,Incorrect,SC,CNPC,12,,
1051,default,,2,Null,5,0,2,,,,,SC,124,UG,,,0.44,Incorrect,SC,CNPC,13,,
1051,default,,2,Null,5,0,0,,,,,SC,116,FILL,,,0.61,Correct,SC,CNPC,14,,
1051,default,,2,Null,5,0,1,,,,,SC,8,CNPC,,,0.51,Incorrect,SC,CNPC,15,,
1051,default,,2,Null,6,0,0,,,,,SC,123,UG,,,0.71,Correct,SC,CNPC,16,,
1051,default,,2,Null,6,1,1,,,,,SC,7,CNPC,,,0.72,Incorrect,SC,CNPC,17,,
1051,default,,2,Null,6,2,0,,,,,SC,115,FILL,,,0.67,Correct,SC,CNPC,18,,
1051,default,,2,Null,7,1,0,,,,,SC,114,FILL,,,0.67,Correct,SC,CNPC,19,,
1051,default,,2,Null,7,3,3,,,,,SC,6,CNPC,,,0.82,Don't know,SC,CNPC,20,,
1051,default,,2,Null,7,2,0,,,,,SC,122,UG,,,0.41,Correct,SC,CNPC,21,,
1051,default,,2,Null,8,1,0,,,,,SC,5,CNPC,,,0.7,Correct,SC,CNPC,22,,
1051,default,,2,Null,8,1,0,,,,,SC,121,UG,,,0.24,Correct,SC,CNPC,23,,
1051,default,,0,correct,8,1,0,,,,,SC,113,FILL,,,0.68,Correct,SC,CNPC,24,,
875,default,b,,,practice,,,NC,,,,,practice_good,,practice_good,1,,,,,0,0,
875,default,d,,,practice,,,NC,0,a,c,,practice_good,,practice_good,0.02,,,,,0,3,
875,default,,0,correct,1,3,3,,,,,NC,128,UG,,,0,Don't know,NC,CNPC,1,,
875,default,,0,correct,1,1,0,,,,,NC,12,CNPC,,,0.3,Correct,NC,CNPC,2,,
875,default,,0,correct,1,1,0,,,,,NC,120,FILL,,,0.57,Correct,NC,CNPC,3,,
875,default,,1,correct,2,2,0,,,,,NC,119,FILL,,,0.9,Correct,NC,CNPC,4,,
875,default,,2,Null,2,1,2,,,,,NC,11,CNPC,,,0.29,Incorrect,NC,CNPC,5,,
875,default,,2,Null,2,1,0,,,,,NC,127,UG,,,0,Correct,NC,CNPC,6,,
875,default,,2,Null,3,2,0,,,,,NC,126,UG,,,0.07,Correct,NC,CNPC,7,,
875,default,,2,Null,3,1,0,,,,,NC,118,FILL,,,1,Correct,NC,CNPC,8,,
875,default,,2,Null,3,2,1,,,,,NC,10,CNPC,,,0.23,Incorrect,NC,CNPC,9,,
875,default,,2,Null,4,0,0,,,,,NC,9,CNPC,,,0.52,Correct,NC,CNPC,10,,
875,default,,2,Null,4,0,0,,,,,NC,117,FILL,,,0.92,Correct,NC,CNPC,11,,
875,default,,2,Null,4,3,3,,,,,NC,125,UG,,,0.22,Don't know,NC,CNPC,12,,
875,default,,2,Null,5,1,0,,,,,NC,116,FILL,,,0.7,Correct,NC,CNPC,13,,
875,default,,2,Null,5,1,1,,,,,NC,8,CNPC,,,0.46,Incorrect,NC,CNPC,14,,
875,default,,2,Null,5,1,1,,,,,NC,124,UG,,,0.28,Incorrect,NC,CNPC,15,,
875,default,,2,Null,6,0,1,,,,,NC,7,CNPC,,,0.92,Incorrect,NC,CNPC,16,,
875,default,,2,Null,6,3,3,,,,,NC,123,UG,,,0.26,Don't know,NC,CNPC,17,,
875,default,,0,correct,6,1,0,,,,,NC,115,FILL,,,0.88,Correct,NC,CNPC,18,,
875,default,,2,Null,7,2,0,,,,,NC,122,UG,,,0.23,Correct,NC,CNPC,19,,
875,default,,1,correct,7,1,0,,,,,NC,6,CNPC,,,0.85,Correct,NC,CNPC,20,,
875,default,,2,Null,7,2,0,,,,,NC,114,FILL,,,0.6,Correct,NC,CNPC,21,,
875,default,,2,Null,8,0,0,,,,,NC,113,FILL,,,0.49,Correct,NC,CNPC,22,,
875,default,,2,Null,8,2,0,,,,,NC,121,UG,,,0.17,Correct,NC,CNPC,23,,
875,default,,2,Null,8,1,0,,,,,NC,5,CNPC,,,0.79,Correct,NC,CNPC,24,,
