"workerid","proliferate.condition","answer_of_comprehension","block_sequence","choosed_choice","comprehension_response","experiment_condition","first_response_value","group","item_condition","item_group","item_number","item_type","rating","rating_response","response_correctness","trial_sequence_total","wrong_attempts","error"
518,"default","",1,3,3,"WH","","","UG","RP","48","",NA,0.01,"Don't know",1,NA,NA
518,"default","",1,1,0,"WH","","","WH","RP","24","",NA,0.28,"Correct",2,NA,NA
518,"default","",1,0,0,"WH","","","FILL","RP","36","",NA,0.88,"Correct",3,NA,NA
518,"default","",2,2,0,"WH","","","WH","RP","23","",NA,0.43,"Correct",4,NA,NA
518,"default","",2,3,3,"WH","","","UG","RP","47","",NA,0,"Don't know",5,NA,NA
518,"default","",2,0,0,"WH","","","FILL","RP","35","",NA,0.95,"Correct",6,NA,NA
518,"default","",3,3,3,"WH","","","UG","RP","46","",NA,0.01,"Don't know",7,NA,NA
518,"default","",3,2,0,"WH","","","WH","RP","22","",NA,0.38,"Correct",8,NA,NA
518,"default","",3,0,0,"WH","","","FILL","RP","34","",NA,0.92,"Correct",9,NA,NA
518,"default","",4,1,0,"WH","","","WH","RP","21","",NA,0.55,"Correct",10,NA,NA
518,"default","",4,0,0,"WH","","","FILL","RP","33","",NA,0.48,"Correct",11,NA,NA
518,"default","",4,3,3,"WH","","","UG","RP","45","",NA,0.03,"Don't know",12,NA,NA
518,"default","",5,1,0,"WH","","","FILL","RP","32","",NA,0.93,"Correct",13,NA,NA
518,"default","",5,3,3,"WH","","","UG","RP","44","",NA,0.03,"Don't know",14,NA,NA
518,"default","",5,0,0,"WH","","","WH","RP","20","",NA,0.59,"Correct",15,NA,NA
518,"default","",6,0,1,"WH","","","WH","RP","19","",NA,0.28,"Incorrect",16,NA,NA
518,"default","",6,2,0,"WH","","","FILL","RP","31","",NA,0.93,"Correct",17,NA,NA
518,"default","",6,3,3,"WH","","","UG","RP","43","",NA,0.01,"Don't know",18,NA,NA
518,"default","",7,0,0,"WH","","","UG","RP","42","",NA,0.08,"Correct",19,NA,NA
518,"default","",7,2,0,"WH","","","FILL","RP","30","",NA,0.81,"Correct",20,NA,NA
518,"default","",7,2,0,"WH","","","WH","RP","18","",NA,0.38,"Correct",21,NA,NA
518,"default","",8,2,0,"WH","","","WH","RP","17","",NA,0.39,"Correct",22,NA,NA
518,"default","",8,1,0,"WH","","","FILL","RP","29","",NA,0.85,"Correct",23,NA,NA
518,"default","",8,3,3,"WH","","","UG","RP","41","",NA,0,"Don't know",24,NA,NA
518,"default","",9,0,0,"WH","","","WH","RP","16","",NA,0.26,"Correct",25,NA,NA
518,"default","",9,0,0,"WH","","","FILL","RP","28","",NA,0.68,"Correct",26,NA,NA
518,"default","",9,3,3,"WH","","","UG","RP","40","",NA,0,"Don't know",27,NA,NA
518,"default","",10,2,0,"WH","","","FILL","RP","27","",NA,0.4,"Correct",28,NA,NA
518,"default","",10,1,0,"WH","","","WH","RP","15","",NA,0.22,"Correct",29,NA,NA
518,"default","",10,3,3,"WH","","","UG","RP","39","",NA,0.02,"Don't know",30,NA,NA
