workerid,proliferate.condition,answer_of_comprehension,block_sequence,choosed_choice,comprehension_response,experiment_condition,first_response_value,group,item_condition,item_group,item_number,item_type,rating,rating_response,response_correctness,trial_sequence_total,wrong_attempts,error
518,default,b,practice,,,,,RP,,,practice_good,practice_good,0.92,,,0,0,
518,default,d,practice,,,,c,RP,,,practice_good,practice_good,0,,,0,3,
518,default,,1,3,3,WH,,,UG,RP,48,,,0.01,Don't know,1,,
518,default,,1,1,0,WH,,,WH,RP,24,,,0.28,Correct,2,,
518,default,,1,0,0,WH,,,FILL,RP,36,,,0.88,Correct,3,,
518,default,,2,2,0,WH,,,WH,RP,23,,,0.43,Correct,4,,
518,default,,2,3,3,WH,,,UG,RP,47,,,0,Don't know,5,,
518,default,,2,0,0,WH,,,FILL,RP,35,,,0.95,Correct,6,,
518,default,,3,3,3,WH,,,UG,RP,46,,,0.01,Don't know,7,,
518,default,,3,2,0,WH,,,WH,RP,22,,,0.38,Correct,8,,
518,default,,3,0,0,WH,,,FILL,RP,34,,,0.92,Correct,9,,
518,default,,4,1,0,WH,,,WH,RP,21,,,0.55,Correct,10,,
518,default,,4,0,0,WH,,,FILL,RP,33,,,0.48,Correct,11,,
518,default,,4,3,3,WH,,,UG,RP,45,,,0.03,Don't know,12,,
518,default,,5,1,0,WH,,,FILL,RP,32,,,0.93,Correct,13,,
518,default,,5,3,3,WH,,,UG,RP,44,,,0.03,Don't know,14,,
518,default,,5,0,0,WH,,,WH,RP,20,,,0.59,Correct,15,,
518,default,,6,0,1,WH,,,WH,RP,19,,,0.28,Incorrect,16,,
518,default,,6,2,0,WH,,,FILL,RP,31,,,0.93,Correct,17,,
518,default,,6,3,3,WH,,,UG,RP,43,,,0.01,Don't know,18,,
518,default,,7,0,0,WH,,,UG,RP,42,,,0.08,Correct,19,,
518,default,,7,2,0,WH,,,FILL,RP,30,,,0.81,Correct,20,,
518,default,,7,2,0,WH,,,WH,RP,18,,,0.38,Correct,21,,
518,default,,8,2,0,WH,,,WH,RP,17,,,0.39,Correct,22,,
518,default,,8,1,0,WH,,,FILL,RP,29,,,0.85,Correct,23,,
518,default,,8,3,3,WH,,,UG,RP,41,,,0,Don't know,24,,
518,default,,9,0,0,WH,,,WH,RP,16,,,0.26,Correct,25,,
518,default,,9,0,0,WH,,,FILL,RP,28,,,0.68,Correct,26,,
518,default,,9,3,3,WH,,,UG,RP,40,,,0,Don't know,27,,
518,default,,10,2,0,WH,,,FILL,RP,27,,,0.4,Correct,28,,
518,default,,10,1,0,WH,,,WH,RP,15,,,0.22,Correct,29,,
518,default,,10,3,3,WH,,,UG,RP,39,,,0.02,Don't know,30,,
518,default,,11,3,3,WH,,,UG,RP,38,,,0.05,Don't know,31,,
518,default,,11,0,0,WH,,,FILL,RP,26,,,0.82,Correct,32,,
518,default,,11,2,0,WH,,,WH,RP,14,,,0.33,Correct,33,,
518,default,,12,2,0,WH,,,FILL,RP,25,,,0.77,Correct,34,,
518,default,,12,3,3,WH,,,UG,RP,37,,,0.01,Don't know,35,,
518,default,,12,0,0,WH,,,WH,RP,13,,,0.4,Correct,36,,
275,default,b,practice,,,,,RP,,,practice_good,practice_good,1,,,0,0,
275,default,d,practice,,,,b,RP,,,practice_good,practice_good,0,,,0,2,
275,default,,1,0,0,CNPC,,,FILL,RP,36,,,1,Correct,1,,
275,default,,1,0,1,CNPC,,,CNPC,RP,12,,,0.34,Incorrect,2,,
275,default,,1,3,3,CNPC,,,UG,RP,48,,,0,Don't know,3,,
275,default,,2,2,0,CNPC,,,CNPC,RP,11,,,0.62,Correct,4,,
275,default,,2,0,0,CNPC,,,FILL,RP,35,,,1,Correct,5,,
275,default,,2,3,3,CNPC,,,UG,RP,47,,,0,Don't know,6,,
275,default,,3,3,3,CNPC,,,UG,RP,46,,,0,Don't know,7,,
275,default,,3,1,0,CNPC,,,FILL,RP,34,,,1,Correct,8,,
275,default,,3,0,0,CNPC,,,CNPC,RP,10,,,0.35,Correct,9,,
275,default,,4,0,0,CNPC,,,CNPC,RP,9,,,0.76,Correct,10,,
275,default,,4,3,3,CNPC,,,UG,RP,45,,,0,Don't know,11,,
275,default,,4,0,0,CNPC,,,FILL,RP,33,,,1,Correct,12,,
275,default,,5,1,0,CNPC,,,CNPC,RP,8,,,0.28,Correct,13,,
275,default,,5,3,3,CNPC,,,UG,RP,44,,,0,Don't know,14,,
275,default,,5,0,0,CNPC,,,FILL,RP,32,,,0.94,Correct,15,,
275,default,,6,1,2,CNPC,,,FILL,RP,31,,,0.72,Incorrect,16,,
275,default,,6,0,0,CNPC,,,CNPC,RP,7,,,0.17,Correct,17,,
275,default,,6,3,3,CNPC,,,UG,RP,43,,,0,Don't know,18,,
275,default,,7,3,3,CNPC,,,UG,RP,42,,,0,Don't know,19,,
275,default,,7,2,0,CNPC,,,CNPC,RP,6,,,0.33,Correct,20,,
275,default,,7,2,0,CNPC,,,FILL,RP,30,,,1,Correct,21,,
275,default,,8,1,0,CNPC,,,FILL,RP,29,,,1,Correct,22,,
275,default,,8,2,0,CNPC,,,CNPC,RP,5,,,0.41,Correct,23,,
275,default,,8,3,3,CNPC,,,UG,RP,41,,,0,Don't know,24,,
275,default,,9,0,0,CNPC,,,FILL,RP,28,,,0.82,Correct,25,,
275,default,,9,3,3,CNPC,,,UG,RP,40,,,0,Don't know,26,,
275,default,,9,2,0,CNPC,,,CNPC,RP,4,,,0.71,Correct,27,,
275,default,,10,1,0,CNPC,,,CNPC,RP,3,,,0.82,Correct,28,,
275,default,,10,3,3,CNPC,,,UG,RP,39,,,0,Don't know,29,,
275,default,,10,1,0,CNPC,,,FILL,RP,27,,,1,Correct,30,,
275,default,,11,2,0,CNPC,,,FILL,RP,26,,,0.88,Correct,31,,
275,default,,11,2,0,CNPC,,,CNPC,RP,2,,,0.3,Correct,32,,
275,default,,11,3,3,CNPC,,,UG,RP,38,,,0,Don't know,33,,
275,default,,12,3,3,CNPC,,,UG,RP,37,,,0,Don't know,34,,
275,default,,12,1,0,CNPC,,,FILL,RP,25,,,0.91,Correct,35,,
275,default,,12,2,0,CNPC,,,CNPC,RP,1,,,0.39,Correct,36,,
542,default,b,practice,,,,,RP,,,practice_good,practice_good,1,,,0,0,
542,default,d,practice,,,,c,RP,,,practice_good,practice_good,0,,,0,3,
542,default,,1,0,0,CNPC,,,FILL,RP,36,,,1,Correct,1,,
542,default,,1,3,3,CNPC,,,CNPC,RP,12,,,0,Don't know,2,,
542,default,,1,3,3,CNPC,,,UG,RP,48,,,0,Don't know,3,,
542,default,,2,0,0,CNPC,,,UG,RP,47,,,0,Correct,4,,
542,default,,2,1,2,CNPC,,,CNPC,RP,11,,,0.67,Incorrect,5,,
542,default,,2,2,0,CNPC,,,FILL,RP,35,,,1,Correct,6,,
542,default,,3,3,3,CNPC,,,UG,RP,46,,,0,Don't know,7,,
542,default,,3,1,0,CNPC,,,CNPC,RP,10,,,0.87,Correct,8,,
542,default,,3,1,0,CNPC,,,FILL,RP,34,,,1,Correct,9,,
542,default,,4,3,3,CNPC,,,UG,RP,45,,,0,Don't know,10,,
542,default,,4,0,0,CNPC,,,FILL,RP,33,,,1,Correct,11,,
542,default,,4,1,0,CNPC,,,CNPC,RP,9,,,1,Correct,12,,
542,default,,5,3,3,CNPC,,,UG,RP,44,,,0,Don't know,13,,
542,default,,5,2,0,CNPC,,,FILL,RP,32,,,1,Correct,14,,
542,default,,5,2,0,CNPC,,,CNPC,RP,8,,,1,Correct,15,,
542,default,,6,1,0,CNPC,,,FILL,RP,31,,,1,Correct,16,,
542,default,,6,0,1,CNPC,,,CNPC,RP,7,,,0.67,Incorrect,17,,
542,default,,6,3,3,CNPC,,,UG,RP,43,,,0,Don't know,18,,
542,default,,7,1,0,CNPC,,,FILL,RP,30,,,1,Correct,19,,
542,default,,7,3,3,CNPC,,,UG,RP,42,,,0,Don't know,20,,
542,default,,7,0,0,CNPC,,,CNPC,RP,6,,,0.55,Correct,21,,
542,default,,8,3,3,CNPC,,,UG,RP,41,,,0,Don't know,22,,
542,default,,8,2,1,CNPC,,,CNPC,RP,5,,,0.71,Incorrect,23,,
542,default,,8,2,0,CNPC,,,FILL,RP,29,,,1,Correct,24,,
542,default,,9,3,3,CNPC,,,UG,RP,40,,,0,Don't know,25,,
542,default,,9,0,0,CNPC,,,FILL,RP,28,,,0.81,Correct,26,,
542,default,,9,0,0,CNPC,,,CNPC,RP,4,,,0.32,Correct,27,,
542,default,,10,0,1,CNPC,,,CNPC,RP,3,,,0.75,Incorrect,28,,
542,default,,10,1,0,CNPC,,,FILL,RP,27,,,1,Correct,29,,
542,default,,10,3,3,CNPC,,,UG,RP,39,,,0,Don't know,30,,
542,default,,11,2,0,CNPC,,,FILL,RP,26,,,1,Correct,31,,
542,default,,11,0,1,CNPC,,,CNPC,RP,2,,,0.87,Incorrect,32,,
542,default,,11,0,0,CNPC,,,UG,RP,38,,,0,Correct,33,,
542,default,,12,3,3,CNPC,,,UG,RP,37,,,0,Don't know,34,,
542,default,,12,2,0,CNPC,,,CNPC,RP,1,,,0.83,Correct,35,,
542,default,,12,0,0,CNPC,,,FILL,RP,25,,,1,Correct,36,,
330,default,b,practice,,,,,GAP,,,practice_good,practice_good,0.99,,,0,0,
330,default,d,practice,,,,c,GAP,,,practice_good,practice_good,0.04,,,0,3,
330,default,,1,3,3,CNPC,,,CNPC,GAP,12,,,0.14,Don't know,1,,
330,default,,1,3,3,CNPC,,,UG,GAP,48,,,0.01,Don't know,2,,
330,default,,1,2,0,CNPC,,,FILL,GAP,36,,,0.98,Correct,3,,
330,default,,2,2,0,CNPC,,,FILL,GAP,35,,,0.99,Correct,4,,
330,default,,2,3,3,CNPC,,,UG,GAP,47,,,0.05,Don't know,5,,
330,default,,2,1,0,CNPC,,,CNPC,GAP,11,,,0.66,Correct,6,,
330,default,,3,1,0,CNPC,,,CNPC,GAP,10,,,0.03,Correct,7,,
330,default,,3,0,0,CNPC,,,FILL,GAP,34,,,0.99,Correct,8,,
330,default,,3,3,3,CNPC,,,UG,GAP,46,,,0.06,Don't know,9,,
330,default,,4,1,0,CNPC,,,FILL,GAP,33,,,1,Correct,10,,
330,default,,4,3,3,CNPC,,,UG,GAP,45,,,0.04,Don't know,11,,
330,default,,4,2,0,CNPC,,,CNPC,GAP,9,,,0.57,Correct,12,,
330,default,,5,3,3,CNPC,,,UG,GAP,44,,,0.03,Don't know,13,,
330,default,,5,0,0,CNPC,,,CNPC,GAP,8,,,0.67,Correct,14,,
330,default,,5,2,0,CNPC,,,FILL,GAP,32,,,1,Correct,15,,
330,default,,6,1,1,CNPC,,,UG,GAP,43,,,0.03,Incorrect,16,,
330,default,,6,1,0,CNPC,,,FILL,GAP,31,,,0.99,Correct,17,,
330,default,,6,0,0,CNPC,,,CNPC,GAP,7,,,0.72,Correct,18,,
330,default,,7,3,3,CNPC,,,UG,GAP,42,,,0,Don't know,19,,
330,default,,7,1,0,CNPC,,,FILL,GAP,30,,,0.99,Correct,20,,
330,default,,7,1,0,CNPC,,,CNPC,GAP,6,,,0.86,Correct,21,,
330,default,,8,0,0,CNPC,,,CNPC,GAP,5,,,0.7,Correct,22,,
330,default,,8,2,0,CNPC,,,FILL,GAP,29,,,0.99,Correct,23,,
330,default,,8,3,3,CNPC,,,UG,GAP,41,,,0,Don't know,24,,
330,default,,9,3,3,CNPC,,,UG,GAP,40,,,0.01,Don't know,25,,
330,default,,9,2,0,CNPC,,,CNPC,GAP,4,,,0.82,Correct,26,,
330,default,,9,1,0,CNPC,,,FILL,GAP,28,,,0.86,Correct,27,,
330,default,,10,3,3,CNPC,,,UG,GAP,39,,,0,Don't know,28,,
330,default,,10,2,1,CNPC,,,CNPC,GAP,3,,,0.89,Incorrect,29,,
330,default,,10,2,0,CNPC,,,FILL,GAP,27,,,0.99,Correct,30,,
330,default,,11,3,3,CNPC,,,UG,GAP,38,,,0.03,Don't know,31,,
330,default,,11,1,0,CNPC,,,FILL,GAP,26,,,0.99,Correct,32,,
330,default,,11,1,0,CNPC,,,CNPC,GAP,2,,,0.86,Correct,33,,
330,default,,12,1,0,CNPC,,,CNPC,GAP,1,,,0.85,Correct,34,,
330,default,,12,0,0,CNPC,,,FILL,GAP,25,,,0.99,Correct,35,,
330,default,,12,3,3,CNPC,,,UG,GAP,37,,,0.02,Don't know,36,,
300,default,b,practice,,,,a,RP,,,practice_good,practice_good,0.98,,,0,1,
300,default,d,practice,,,,,RP,,,practice_good,practice_good,0,,,0,0,
300,default,,1,0,0,WH,,,WH,RP,24,,,0.29,Correct,1,,
300,default,,1,0,1,WH,,,UG,RP,48,,,0.02,Incorrect,2,,
300,default,,1,0,1,WH,,,FILL,RP,36,,,0.97,Incorrect,3,,
300,default,,2,2,0,WH,,,WH,RP,23,,,0.98,Correct,4,,
300,default,,2,1,0,WH,,,FILL,RP,35,,,0.99,Correct,5,,
300,default,,2,2,0,WH,,,UG,RP,47,,,0.09,Correct,6,,
300,default,,3,0,0,WH,,,UG,RP,46,,,0.06,Correct,7,,
300,default,,3,1,0,WH,,,WH,RP,22,,,0.81,Correct,8,,
300,default,,3,0,0,WH,,,FILL,RP,34,,,0.88,Correct,9,,
300,default,,4,2,0,WH,,,FILL,RP,33,,,0.97,Correct,10,,
300,default,,4,0,0,WH,,,UG,RP,45,,,0.06,Correct,11,,
300,default,,4,0,1,WH,,,WH,RP,21,,,0.94,Incorrect,12,,
300,default,,5,2,0,WH,,,UG,RP,44,,,0.26,Correct,13,,
300,default,,5,0,0,WH,,,WH,RP,20,,,0.93,Correct,14,,
