workerid,proliferate.condition,block_sequence,exposure_condition,first_response_value,group,item_number,item_type,phase,response,sentence_id,test_condition,trial_sequence_total,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
99,condition1,practice,,,match,practice_good,practice_good,practice_good,0.77,,,0,0,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,practice,,0.78,match,practice_bad,practice_bad,practice_bad,0.3,,,0,1,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,201,WH,,match,24,WH,pre-exposure,0.62,71,WH,1,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,201,WH,,match,108,FILL,pre-exposure,0.61,143,WH,2,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,201,WH,,match,130,UNGRAM,pre-exposure,0.4,165,WH,3,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,201,WH,,match,21,WH,pre-exposure,0.56,62,WH,4,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,202,WH,,match,10,WH,pre-exposure,0.57,29,WH,5,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,202,WH,,match,110,FILL,pre-exposure,0.56,145,WH,6,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,202,WH,,match,8,WH,pre-exposure,0.58,23,WH,7,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,202,WH,,match,131,UNGRAM,pre-exposure,0.55,166,WH,8,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,203,WH,,match,6,WH,pre-exposure,0.57,17,WH,9,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,203,WH,,match,115,FILL,pre-exposure,0.55,150,WH,10,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,203,WH,,match,5,WH,pre-exposure,0.37,14,WH,11,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,203,WH,,match,132,UNGRAM,pre-exposure,0.35,167,WH,12,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,1,WH,,match,2,WH,exposure,0.65,5,WH,13,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,1,WH,,match,124,UNGRAM,exposure,0.69,159,WH,14,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,1,WH,,match,104,FILL,exposure,0.69,139,WH,15,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,1,WH,,match,22,WH,exposure,0.34,65,WH,16,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,2,WH,,match,1,WH,exposure,0.64,2,WH,17,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,2,WH,,match,128,UNGRAM,exposure,0.65,163,WH,18,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,2,WH,,match,116,FILL,exposure,0.71,151,WH,19,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,2,WH,,match,4,WH,exposure,0.73,11,WH,20,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,3,WH,,match,15,WH,exposure,0.38,44,WH,21,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,3,WH,,match,11,WH,exposure,0.57,32,WH,22,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,3,WH,,match,127,UNGRAM,exposure,0.25,162,WH,23,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,3,WH,,match,113,FILL,exposure,0.64,148,WH,24,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,4,WH,,match,112,FILL,exposure,0.67,147,WH,25,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,4,WH,,match,3,WH,exposure,0.41,8,WH,26,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,4,WH,,match,117,UNGRAM,exposure,0.72,152,WH,27,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,4,WH,,match,18,WH,exposure,0.29,53,WH,28,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,5,WH,,match,16,WH,exposure,0.69,47,WH,29,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,5,WH,,match,125,UNGRAM,exposure,0.72,160,WH,30,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,5,WH,,match,107,FILL,exposure,0.67,142,WH,31,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,5,WH,,match,19,WH,exposure,0.74,56,WH,32,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,6,WH,,match,121,UNGRAM,exposure,0.72,156,WH,33,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,6,WH,,match,105,FILL,exposure,0.71,140,WH,34,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,6,WH,,match,13,WH,exposure,0.72,38,WH,35,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,6,WH,,match,30,WH,exposure,0.74,89,WH,36,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,7,WH,,match,106,FILL,exposure,0.74,141,WH,37,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,7,WH,,match,23,WH,exposure,0.76,68,WH,38,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,7,WH,,match,118,UNGRAM,exposure,0.73,153,WH,39,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,7,WH,,match,9,WH,exposure,0.73,26,WH,40,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,8,WH,,match,7,WH,exposure,0.81,20,WH,41,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,8,WH,,match,109,FILL,exposure,0.28,144,WH,42,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,8,WH,,match,123,UNGRAM,exposure,0.22,158,WH,43,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
99,condition1,8,WH,,match,17,WH,exposure,0.17,50,WH,44,,[],45,Yes,,3,2, linguistic task ,Male,English,NO,Firefox,Windows,768,1366,16.634283333333332,
