"workerid","proliferate.condition","block_sequence","exposure_condition","first_response_value","group","item_number","item_type","phase","response","sentence_id","test_condition","trial_sequence_total","wrong_attempts","time_in_minutes","error","phase2"
868,"condition1",1,"POLAR",NA,"control","126","UNGRAM","exposure",0.16,206,"SUBJ",1,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",1,"POLAR",NA,"control","14","POLAR","exposure",1,56,"SUBJ",2,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",1,"POLAR",NA,"control","10","POLAR","exposure",1,40,"SUBJ",3,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",1,"POLAR",NA,"control","111","FILL","exposure",0.79,191,"SUBJ",4,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",2,"POLAR",NA,"control","5","POLAR","exposure",1,20,"SUBJ",5,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",2,"POLAR",NA,"control","16","POLAR","exposure",1,64,"SUBJ",6,NA,5.56086666666667,NA,"pre-exposure"
868,"condition1",2,"POLAR",NA,"control","102","FILL","exposure",1,182,"SUBJ",7,NA,5.56086666666667,NA,"exposure"
868,"condition1",2,"POLAR",NA,"control","119","UNGRAM","exposure",0.02,199,"SUBJ",8,NA,5.56086666666667,NA,"exposure"
868,"condition1",3,"POLAR",NA,"control","12","POLAR","exposure",0.14,48,"SUBJ",9,NA,5.56086666666667,NA,"exposure"
868,"condition1",3,"POLAR",NA,"control","109","FILL","exposure",1,189,"SUBJ",10,NA,5.56086666666667,NA,"exposure"
868,"condition1",3,"POLAR",NA,"control","121","UNGRAM","exposure",0,201,"SUBJ",11,NA,5.56086666666667,NA,"exposure"
868,"condition1",3,"POLAR",NA,"control","15","POLAR","exposure",0.84,60,"SUBJ",12,NA,5.56086666666667,NA,"exposure"
868,"condition1",4,"POLAR",NA,"control","118","UNGRAM","exposure",0,198,"SUBJ",13,NA,5.56086666666667,NA,"exposure"
868,"condition1",4,"POLAR",NA,"control","11","POLAR","exposure",1,44,"SUBJ",14,NA,5.56086666666667,NA,"exposure"
868,"condition1",4,"POLAR",NA,"control","107","FILL","exposure",1,187,"SUBJ",15,NA,5.56086666666667,NA,"exposure"
868,"condition1",4,"POLAR",NA,"control","22","POLAR","exposure",1,88,"SUBJ",16,NA,5.56086666666667,NA,"exposure"
868,"condition1",5,"POLAR",NA,"control","19","POLAR","exposure",0.77,76,"SUBJ",17,NA,5.56086666666667,NA,"exposure"
868,"condition1",5,"POLAR",NA,"control","105","FILL","exposure",0.75,185,"SUBJ",18,NA,5.56086666666667,NA,"exposure"
868,"condition1",5,"POLAR",NA,"control","20","POLAR","exposure",1,80,"SUBJ",19,NA,5.56086666666667,NA,"exposure"
868,"condition1",5,"POLAR",NA,"control","117","UNGRAM","exposure",0,197,"SUBJ",20,NA,5.56086666666667,NA,"exposure"
868,"condition1",6,"POLAR",NA,"control","13","POLAR","exposure",1,52,"SUBJ",21,NA,5.56086666666667,NA,"exposure"
868,"condition1",6,"POLAR",NA,"control","122","UNGRAM","exposure",0,202,"SUBJ",22,NA,5.56086666666667,NA,"exposure"
868,"condition1",6,"POLAR",NA,"control","103","FILL","exposure",1,183,"SUBJ",23,NA,5.56086666666667,NA,"exposure"
868,"condition1",6,"POLAR",NA,"control","8","POLAR","exposure",0.84,32,"SUBJ",24,NA,5.56086666666667,NA,"exposure"
868,"condition1",101,"POLAR",NA,"control","21","SUBJ","test",0.17,83,"SUBJ",25,NA,5.56086666666667,NA,"test"
868,"condition1",101,"POLAR",NA,"control","120","UNGRAM","test",0,200,"SUBJ",26,NA,5.56086666666667,NA,"test"
868,"condition1",101,"POLAR",NA,"control","18","SUBJ","test",0.22,71,"SUBJ",27,NA,5.56086666666667,NA,"test"
868,"condition1",101,"POLAR",NA,"control","108","FILL","test",0.88,188,"SUBJ",28,NA,5.56086666666667,NA,"test"
868,"condition1",102,"POLAR",NA,"control","9","SUBJ","test",0.67,35,"SUBJ",29,NA,5.56086666666667,NA,"test"
868,"condition1",102,"POLAR",NA,"control","125","UNGRAM","test",0,205,"SUBJ",30,NA,5.56086666666667,NA,"test"
868,"condition1",102,"POLAR",NA,"control","17","SUBJ","test",0.03,67,"SUBJ",31,NA,5.56086666666667,NA,"test"
868,"condition1",102,"POLAR",NA,"control","110","FILL","test",1,190,"SUBJ",32,NA,5.56086666666667,NA,"test"
868,"condition1",103,"POLAR",NA,"control","7","SUBJ","test",0.75,27,"SUBJ",33,NA,5.56086666666667,NA,"test"
868,"condition1",103,"POLAR",NA,"control","6","SUBJ","test",0.72,23,"SUBJ",34,NA,5.56086666666667,NA,"test"
868,"condition1",103,"POLAR",NA,"control","123","UNGRAM","test",0,203,"SUBJ",35,NA,5.56086666666667,NA,"test"
868,"condition1",103,"POLAR",NA,"control","104","FILL","test",0.87,184,"SUBJ",36,NA,5.56086666666667,NA,"test"
868,"condition1",104,"POLAR",NA,"control","124","UNGRAM","test",0,204,"SUBJ",37,NA,5.56086666666667,NA,"test"
868,"condition1",104,"POLAR",NA,"control","106","FILL","test",0.85,186,"SUBJ",38,NA,5.56086666666667,NA,"test"
868,"condition1",104,"POLAR",NA,"control","3","SUBJ","test",0.84,11,"SUBJ",39,NA,5.56086666666667,NA,"test"
868,"condition1",104,"POLAR",NA,"control","4","SUBJ","test",0.79,15,"SUBJ",40,NA,5.56086666666667,NA,"test"
868,"condition1",105,"POLAR",NA,"control","127","UNGRAM","test",0,207,"SUBJ",41,NA,5.56086666666667,NA,"test"
868,"condition1",105,"POLAR",NA,"control","101","FILL","test",0.71,181,"SUBJ",42,NA,5.56086666666667,NA,"test"
868,"condition1",105,"POLAR",NA,"control","1","SUBJ","test",0.85,3,"SUBJ",43,NA,5.56086666666667,NA,"test"
868,"condition1",105,"POLAR",NA,"control","2","SUBJ","test",0.82,7,"SUBJ",44,NA,5.56086666666667,NA,"test"
890,"condition1",1,"SUBJ",NA,"match","126","UNGRAM","exposure",0.02,206,"SUBJ",1,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",1,"SUBJ",NA,"match","20","SUBJ","exposure",0.84,79,"SUBJ",2,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",1,"SUBJ",NA,"match","1","SUBJ","exposure",0.68,3,"SUBJ",3,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",1,"SUBJ",NA,"match","111","FILL","exposure",0.91,191,"SUBJ",4,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",2,"SUBJ",NA,"match","6","SUBJ","exposure",0.46,23,"SUBJ",5,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",2,"SUBJ",NA,"match","107","FILL","exposure",0.98,187,"SUBJ",6,NA,9.30363333333333,NA,"pre-exposure"
890,"condition1",2,"SUBJ",NA,"match","120","UNGRAM","exposure",0.07,200,"SUBJ",7,NA,9.30363333333333,NA,"exposure"
890,"condition1",2,"SUBJ",NA,"match","3","SUBJ","exposure",0.73,11,"SUBJ",8,NA,9.30363333333333,NA,"exposure"
890,"condition1",3,"SUBJ",NA,"match","127","UNGRAM","exposure",0.19,207,"SUBJ",9,NA,9.30363333333333,NA,"exposure"
890,"condition1",3,"SUBJ",NA,"match","110","FILL","exposure",0.99,190,"SUBJ",10,NA,9.30363333333333,NA,"exposure"
890,"condition1",3,"SUBJ",NA,"match","15","SUBJ","exposure",0.48,59,"SUBJ",11,NA,9.30363333333333,NA,"exposure"
890,"condition1",3,"SUBJ",NA,"match","11","SUBJ","exposure",0.57,43,"SUBJ",12,NA,9.30363333333333,NA,"exposure"
890,"condition1",4,"SUBJ",NA,"match","7","SUBJ","exposure",0.43,27,"SUBJ",13,NA,9.30363333333333,NA,"exposure"
890,"condition1",4,"SUBJ",NA,"match","21","SUBJ","exposure",0.42,83,"SUBJ",14,NA,9.30363333333333,NA,"exposure"
890,"condition1",4,"SUBJ",NA,"match","109","FILL","exposure",0.98,189,"SUBJ",15,NA,9.30363333333333,NA,"exposure"
890,"condition1",4,"SUBJ",NA,"match","117","UNGRAM","exposure",0.01,197,"SUBJ",16,NA,9.30363333333333,NA,"exposure"
890,"condition1",5,"SUBJ",NA,"match","119","UNGRAM","exposure",0.02,199,"SUBJ",17,NA,9.30363333333333,NA,"exposure"
890,"condition1",5,"SUBJ",NA,"match","12","SUBJ","exposure",0.4,47,"SUBJ",18,NA,9.30363333333333,NA,"exposure"
890,"condition1",5,"SUBJ",NA,"match","4","SUBJ","exposure",0.35,15,"SUBJ",19,NA,9.30363333333333,NA,"exposure"
890,"condition1",5,"SUBJ",NA,"match","102","FILL","exposure",0.97,182,"SUBJ",20,NA,9.30363333333333,NA,"exposure"
890,"condition1",6,"SUBJ",NA,"match","121","UNGRAM","exposure",0.02,201,"SUBJ",21,NA,9.30363333333333,NA,"exposure"
