workerid,proliferate.condition,block_sequence,exposure_condition,first_response_value,group,item_number,item_type,phase,response,sentence_id,test_condition,trial_sequence_total,wrong_attempts,catch_trials,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
926,condition1,practice,,,mismatch,practice_good,practice_good,practice_good,0.62,,,0,0,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,practice,,,mismatch,practice_bad,practice_bad,practice_bad,0.38,,,0,0,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,1,WH,,mismatch,105,FILL,exposure,0.28,185,SUBJ,1,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,1,WH,,mismatch,126,UNGRAM,exposure,0.62,206,SUBJ,2,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,1,WH,,mismatch,4,WH,exposure,0.36,14,SUBJ,3,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,1,WH,,mismatch,2,WH,exposure,0.63,6,SUBJ,4,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,2,WH,,mismatch,121,UNGRAM,exposure,0.66,201,SUBJ,5,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,2,WH,,mismatch,11,WH,exposure,0.61,42,SUBJ,6,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,2,WH,,mismatch,18,WH,exposure,0.34,70,SUBJ,7,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,2,WH,,mismatch,109,FILL,exposure,0.61,189,SUBJ,8,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,3,WH,,mismatch,14,WH,exposure,0.63,54,SUBJ,9,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,3,WH,,mismatch,122,UNGRAM,exposure,0.33,202,SUBJ,10,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,3,WH,,mismatch,104,FILL,exposure,0.62,184,SUBJ,11,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,3,WH,,mismatch,12,WH,exposure,0.37,46,SUBJ,12,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,4,WH,,mismatch,1,WH,exposure,0.73,2,SUBJ,13,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,4,WH,,mismatch,101,FILL,exposure,0.65,181,SUBJ,14,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,4,WH,,mismatch,125,UNGRAM,exposure,0.36,205,SUBJ,15,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,4,WH,,mismatch,7,WH,exposure,0.56,26,SUBJ,16,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,5,WH,,mismatch,120,UNGRAM,exposure,0.37,200,SUBJ,17,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,5,WH,,mismatch,19,WH,exposure,0.65,74,SUBJ,18,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,5,WH,,mismatch,5,WH,exposure,0.67,18,SUBJ,19,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,5,WH,,mismatch,102,FILL,exposure,0.71,182,SUBJ,20,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,6,WH,,mismatch,9,WH,exposure,0.66,34,SUBJ,21,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,6,WH,,mismatch,106,FILL,exposure,0.33,186,SUBJ,22,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,6,WH,,mismatch,16,WH,exposure,0.72,62,SUBJ,23,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,6,WH,,mismatch,127,UNGRAM,exposure,0.72,207,SUBJ,24,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,101,WH,,mismatch,21,SUBJ,test,0.74,83,SUBJ,25,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,101,WH,,mismatch,22,SUBJ,test,0.66,87,SUBJ,26,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,101,WH,,mismatch,119,UNGRAM,test,0.32,199,SUBJ,27,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,101,WH,,mismatch,108,FILL,test,0.62,188,SUBJ,28,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,102,WH,,mismatch,117,UNGRAM,test,0.79,197,SUBJ,29,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,102,WH,,mismatch,107,FILL,test,0.35,187,SUBJ,30,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,102,WH,,mismatch,17,SUBJ,test,0.66,67,SUBJ,31,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,102,WH,,mismatch,20,SUBJ,test,0.59,79,SUBJ,32,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,103,WH,,mismatch,103,FILL,test,0.7,183,SUBJ,33,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,103,WH,,mismatch,124,UNGRAM,test,0.43,204,SUBJ,34,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,103,WH,,mismatch,13,SUBJ,test,0.35,51,SUBJ,35,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,103,WH,,mismatch,15,SUBJ,test,0.68,59,SUBJ,36,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,104,WH,,mismatch,123,UNGRAM,test,0.72,203,SUBJ,37,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,104,WH,,mismatch,10,SUBJ,test,0.73,39,SUBJ,38,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,104,WH,,mismatch,8,SUBJ,test,0.42,31,SUBJ,39,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,104,WH,,mismatch,111,FILL,test,0.84,191,SUBJ,40,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,105,WH,,mismatch,110,FILL,test,0.75,190,SUBJ,41,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,105,WH,,mismatch,118,UNGRAM,test,0.73,198,SUBJ,42,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,105,WH,,mismatch,3,SUBJ,test,0.72,11,SUBJ,43,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
926,condition1,105,WH,,mismatch,6,SUBJ,test,0.37,23,SUBJ,44,,[],45,Yes,no,4,1,,Male,english,no,Firefox,Windows,768,1366,17.49973333333333,
902,condition1,practice,,,match,practice_good,practice_good,practice_good,1,,,0,0,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,practice,,,match,practice_bad,practice_bad,practice_bad,0,,,0,0,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,1,SUBJ,,match,6,SUBJ,exposure,0,23,SUBJ,1,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,1,SUBJ,,match,125,UNGRAM,exposure,0,205,SUBJ,2,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,1,SUBJ,,match,103,FILL,exposure,0.75,183,SUBJ,3,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,1,SUBJ,,match,18,SUBJ,exposure,0.66,71,SUBJ,4,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,2,SUBJ,,match,105,FILL,exposure,0.75,185,SUBJ,5,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,2,SUBJ,,match,126,UNGRAM,exposure,0.32,206,SUBJ,6,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,2,SUBJ,,match,20,SUBJ,exposure,0.88,79,SUBJ,7,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,2,SUBJ,,match,17,SUBJ,exposure,0.36,67,SUBJ,8,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,3,SUBJ,,match,3,SUBJ,exposure,0.79,11,SUBJ,9,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,3,SUBJ,,match,7,SUBJ,exposure,0.28,27,SUBJ,10,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,3,SUBJ,,match,127,UNGRAM,exposure,0.41,207,SUBJ,11,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,3,SUBJ,,match,108,FILL,exposure,0.87,188,SUBJ,12,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
902,condition1,4,SUBJ,,match,101,FILL,exposure,0.4,181,SUBJ,13,,[],39,Yes,,3,2,100,Male,english,no,Firefox,Windows,768,1366,39.20336666666667,
